x        y
-13 -10.457378373333373
-12 -7.136468851291264
-11 -3.9574260038172877
-10 -3.8680245682355157
-9 -1.8335905781415085
-8 0.18712849130269055
-7 0.9650369005428765
-6 2.6899850206488836
-5 4.122944134507685
-4 6.695671221517054
-3 5.351590490122963
-2 7.743135724908436
-1 7.443520524187533
0 6.740679501739873
1 4.415774937827922
2 5.239389612820277
3 5.221494185226788
4 4.578895801996185
5 4.927180222987028
6 5.2124680690572704
7 2.7339746420267748
8 0.2357202771428636
9 -1.2164904599306072
10 -2.915197650808794
11 -6.088260778086071
12 -7.672391509427938
13 -10.412119656447084
